rules,,support,confidence,coverage,lift,count
58,"{ChildBks,DoItYBks,ArtBks,ItalCook} => {CookBks}",0.0285,1,0.0285,2.320185615,57
59,"{CookBks,DoItYBks,ArtBks,ItalCook} => {ChildBks}",0.0285,0.780821918,0.0365,1.845914699,57
60,"{ChildBks,CookBks,ArtBks,ItalCook} => {DoItYBks}",0.0285,0.626373626,0.0455,2.221183072,57
61,"{ChildBks,CookBks,DoItYBks,ItalCook} => {ArtBks}",0.0285,0.619565217,0.046,2.570810031,57
62,"{ChildBks,ArtBks,GeogBks,ItalCook} => {CookBks}",0.03,1,0.03,2.320185615,60
63,"{CookBks,ArtBks,GeogBks,ItalCook} => {ChildBks}",0.03,0.833333333,0.036,1.970055162,60
64,"{ChildBks,CookBks,ArtBks,ItalCook} => {GeogBks}",0.03,0.659340659,0.0455,2.388915432,60
65,"{ChildBks,CookBks,GeogBks,ItalCook} => {ArtBks}",0.03,0.571428571,0.0525,2.37107291,60
66,"{ChildBks,DoItYBks,GeogBks,ItalCook} => {CookBks}",0.027,1,0.027,2.320185615,54
67,"{CookBks,DoItYBks,GeogBks,ItalCook} => {ChildBks}",0.027,0.782608696,0.0345,1.85013876,54
68,"{ChildBks,CookBks,DoItYBks,ItalCook} => {GeogBks}",0.027,0.586956522,0.046,2.126654064,54
69,"{ChildBks,CookBks,GeogBks,ItalCook} => {DoItYBks}",0.027,0.514285714,0.0525,1.823708207,54
70,"{YouthBks,DoItYBks,RefBks,ArtBks} => {ChildBks}",0.0265,0.883333333,0.03,2.088258471,53
71,"{ChildBks,YouthBks,RefBks,ArtBks} => {DoItYBks}",0.0265,0.623529412,0.0425,2.211097205,53
72,"{ChildBks,YouthBks,DoItYBks,RefBks} => {ArtBks}",0.0265,0.5,0.053,2.074688797,53
73,"{ChildBks,DoItYBks,RefBks,ArtBks} => {YouthBks}",0.0265,0.576086957,0.046,2.327624067,53
74,"{ChildBks,YouthBks,DoItYBks,ArtBks} => {RefBks}",0.0265,0.519607843,0.051,2.422414187,53
75,"{YouthBks,DoItYBks,RefBks,ArtBks} => {CookBks}",0.0245,0.816666667,0.03,1.894818252,49
76,"{YouthBks,CookBks,RefBks,ArtBks} => {DoItYBks}",0.0245,0.620253165,0.0395,2.199479307,49
77,"{YouthBks,CookBks,DoItYBks,RefBks} => {ArtBks}",0.0245,0.505154639,0.0485,2.096077341,49
78,"{CookBks,DoItYBks,RefBks,ArtBks} => {YouthBks}",0.0245,0.576470588,0.0425,2.329174094,49
79,"{YouthBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.027,0.885245902,0.0305,2.092779909,54
80,"{ChildBks,YouthBks,RefBks,ArtBks} => {GeogBks}",0.027,0.635294118,0.0425,2.301790281,54
81,"{ChildBks,YouthBks,RefBks,GeogBks} => {ArtBks}",0.027,0.524271845,0.0515,2.175401845,54
82,"{ChildBks,RefBks,ArtBks,GeogBks} => {YouthBks}",0.027,0.545454545,0.0495,2.203856749,54
83,"{YouthBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.0255,0.836065574,0.0305,1.939827317,51
84,"{YouthBks,CookBks,RefBks,ArtBks} => {GeogBks}",0.0255,0.64556962,0.0395,2.339020363,51
85,"{YouthBks,CookBks,RefBks,GeogBks} => {ArtBks}",0.0255,0.53125,0.048,2.204356846,51
86,"{CookBks,RefBks,ArtBks,GeogBks} => {YouthBks}",0.0255,0.554347826,0.046,2.239789196,51
87,"{ChildBks,YouthBks,RefBks,ArtBks} => {CookBks}",0.034,0.8,0.0425,1.856148492,68
88,"{YouthBks,CookBks,RefBks,ArtBks} => {ChildBks}",0.034,0.860759494,0.0395,2.03489242,68
89,"{ChildBks,YouthBks,CookBks,RefBks} => {ArtBks}",0.034,0.5,0.068,2.074688797,68
90,"{ChildBks,CookBks,RefBks,ArtBks} => {YouthBks}",0.034,0.557377049,0.061,2.252028482,68
91,"{ChildBks,YouthBks,CookBks,ArtBks} => {RefBks}",0.034,0.507462687,0.067,2.365793411,68
92,"{YouthBks,DoItYBks,RefBks,GeogBks} => {ChildBks}",0.03,0.923076923,0.0325,2.182214948,60
93,"{ChildBks,YouthBks,DoItYBks,RefBks} => {GeogBks}",0.03,0.566037736,0.053,2.050861362,60
94,"{ChildBks,YouthBks,RefBks,GeogBks} => {DoItYBks}",0.03,0.582524272,0.0515,2.065688907,60
95,"{ChildBks,DoItYBks,RefBks,GeogBks} => {YouthBks}",0.03,0.571428571,0.0525,2.308802309,60
96,"{ChildBks,YouthBks,DoItYBks,GeogBks} => {RefBks}",0.03,0.530973451,0.0565,2.475400705,60
